["time", "open", "high", "low", "close", "volume"]
["2021-08-09 19:55:00", "141.15", "141.15", "141.15", "141.15", "727"]
["2021-08-09 19:54:00", "141.15", "141.24", "141.15", "141.24", "400"]
["2021-08-09 16:56:00", "141.26", "141.26", "141.26", "141.26", "272"]
["2021-08-09 16:41:00", "141.3", "141.3", "141.3", "141.3", "1001"]
["2021-08-09 16:39:00", "141.33", "141.34", "141.33", "141.34", "490"]
["2021-08-09 16:25:00", "141.34", "141.34", "141.34", "141.34", "184"]
["2021-08-09 16:03:00", "141.25", "141.25", "141.25", "141.25", "2935"]
["2021-08-09 16:02:00", "141.25", "141.25", "141.25", "141.25", "16182"]
["2021-08-09 16:01:00", "141.25", "141.25", "141.25", "141.25", "6147"]
["2021-08-09 16:00:00", "141.255", "141.35", "141.23", "141.24", "52980"]
["2021-08-09 15:59:00", "141.255", "141.2679", "141.18", "141.255", "33103"]
["2021-08-09 15:58:00", "141.26", "141.275", "141.25", "141.25", "29033"]
["2021-08-09 15:57:00", "141.32", "141.32", "141.26", "141.265", "23440"]
["2021-08-09 15:56:00", "141.28", "141.32", "141.26", "141.315", "18608"]
["2021-08-09 15:55:00", "141.29", "141.31", "141.27", "141.28", "18606"]
["2021-08-09 15:54:00", "141.275", "141.29", "141.26", "141.285", "19690"]
["2021-08-09 15:53:00", "141.26", "141.31", "141.255", "141.2701", "11117"]
["2021-08-09 15:52:00", "141.25", "141.29", "141.22", "141.25", "21520"]
["2021-08-09 15:51:00", "141.33", "141.37", "141.26", "141.26", "20094"]
["2021-08-09 15:50:00", "141.225", "141.32", "141.2201", "141.32", "11400"]
["2021-08-09 15:49:00", "141.235", "141.24", "141.21", "141.225", "11716"]
["2021-08-09 15:48:00", "141.265", "141.28", "141.24", "141.24", "12815"]
["2021-08-09 15:47:00", "141.285", "141.285", "141.255", "141.26", "6066"]
["2021-08-09 15:46:00", "141.24", "141.3", "141.215", "141.29", "14349"]
["2021-08-09 15:45:00", "141.26", "141.26", "141.24", "141.245", "7761"]
["2021-08-09 15:44:00", "141.27", "141.29", "141.259", "141.26", "10568"]
["2021-08-09 15:43:00", "141.295", "141.3", "141.255", "141.265", "12407"]
["2021-08-09 15:42:00", "141.3", "141.32", "141.29", "141.29", "11603"]
["2021-08-09 15:41:00", "141.355", "141.36", "141.31", "141.31", "11896"]
["2021-08-09 15:40:00", "141.29", "141.38", "141.29", "141.36", "13220"]
["2021-08-09 15:39:00", "141.275", "141.31", "141.275", "141.285", "8845"]
["2021-08-09 15:38:00", "141.285", "141.335", "141.26", "141.27", "15068"]
["2021-08-09 15:37:00", "141.38", "141.41", "141.28", "141.28", "12650"]
["2021-08-09 15:36:00", "141.33", "141.42", "141.33", "141.38", "11326"]
["2021-08-09 15:35:00", "141.255", "141.3901", "141.255", "141.34", "17712"]
["2021-08-09 15:34:00", "141.15", "141.27", "141.15", "141.2455", "103291"]
["2021-08-09 15:33:00", "141.17", "141.19", "141.13", "141.155", "9437"]
["2021-08-09 15:32:00", "141.13", "141.19", "141.13", "141.1757", "16926"]
["2021-08-09 15:31:00", "141.1409", "141.15", "141.13", "141.13", "21624"]
["2021-08-09 15:30:00", "141.04", "141.171", "141.04", "141.16", "12513"]
["2021-08-09 15:29:00", "141.085", "141.11", "141.03", "141.04", "15117"]
["2021-08-09 15:28:00", "141.055", "141.09", "141.055", "141.085", "18636"]
["2021-08-09 15:27:00", "141.07", "141.07", "141.05", "141.05", "7003"]
["2021-08-09 15:26:00", "141.07", "141.08", "141.065", "141.07", "9164"]
["2021-08-09 15:25:00", "141.105", "141.115", "141.08", "141.08", "12623"]
["2021-08-09 15:24:00", "141.12", "141.12", "141.1", "141.11", "10552"]
["2021-08-09 15:23:00", "141.13", "141.16", "141.13", "141.13", "11254"]
["2021-08-09 15:22:00", "141.24", "141.25", "141.13", "141.13", "23919"]
["2021-08-09 15:21:00", "141.25", "141.2761", "141.25", "141.25", "8384"]
["2021-08-09 15:20:00", "141.275", "141.2799", "141.25", "141.26", "11571"]
["2021-08-09 15:19:00", "141.275", "141.28", "141.255", "141.28", "7786"]
["2021-08-09 15:18:00", "141.295", "141.295", "141.25", "141.275", "18146"]
["2021-08-09 15:17:00", "141.28", "141.3", "141.28", "141.295", "7482"]
["2021-08-09 15:16:00", "141.285", "141.3", "141.28", "141.28", "6421"]
["2021-08-09 15:15:00", "141.245", "141.305", "141.245", "141.285", "7918"]
["2021-08-09 15:14:00", "141.245", "141.26", "141.23", "141.25", "13027"]
["2021-08-09 15:13:00", "141.235", "141.255", "141.23", "141.245", "8035"]
["2021-08-09 15:12:00", "141.235", "141.235", "141.22", "141.23", "12503"]
["2021-08-09 15:11:00", "141.22", "141.2382", "141.21", "141.235", "9332"]
["2021-08-09 15:10:00", "141.225", "141.23", "141.2027", "141.215", "8038"]
["2021-08-09 15:09:00", "141.265", "141.265", "141.205", "141.2236", "18519"]
["2021-08-09 15:08:00", "141.305", "141.33", "141.26", "141.265", "10612"]
["2021-08-09 15:07:00", "141.225", "141.31", "141.225", "141.31", "17625"]
["2021-08-09 15:06:00", "141.273", "141.28", "141.21", "141.22", "11918"]
["2021-08-09 15:05:00", "141.25", "141.29", "141.25", "141.275", "9379"]
["2021-08-09 15:04:00", "141.31", "141.31", "141.255", "141.255", "8429"]
["2021-08-09 15:03:00", "141.325", "141.345", "141.32", "141.32", "11035"]
["2021-08-09 15:02:00", "141.355", "141.3595", "141.32", "141.329", "6766"]
["2021-08-09 15:01:00", "141.385", "141.4", "141.36", "141.36", "6373"]
["2021-08-09 15:00:00", "141.39", "141.4", "141.37", "141.38", "10489"]
["2021-08-09 14:59:00", "141.46", "141.48", "141.43", "141.43", "10486"]
["2021-08-09 14:58:00", "141.4684", "141.48", "141.455", "141.47", "6705"]
["2021-08-09 14:57:00", "141.46", "141.47", "141.44", "141.465", "10003"]
["2021-08-09 14:56:00", "141.465", "141.47", "141.44", "141.46", "6973"]
["2021-08-09 14:55:00", "141.48", "141.52", "141.46", "141.47", "8134"]
["2021-08-09 14:54:00", "141.525", "141.539", "141.47", "141.48", "6346"]
["2021-08-09 14:53:00", "141.52", "141.52", "141.5", "141.505", "5478"]
["2021-08-09 14:52:00", "141.515", "141.54", "141.505", "141.52", "6672"]
["2021-08-09 14:51:00", "141.51", "141.52", "141.495", "141.515", "8465"]
["2021-08-09 14:50:00", "141.55", "141.55", "141.49", "141.51", "7154"]
